"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"VN","Vietnam","2097","90","750327","0.6850164869126846","329392","0.5979590439662515","420935","0.7730939396329771","0.7825246178151021"
"VN","Vietnam","2097","91","680137","0.6209360163759701","287267","0.5214877734828204","392870","0.7215494460275523","0.7312011606892865"
"VN","Vietnam","2097","92","625445","0.571004557555711","255833","0.46442432146202106","369612","0.6788335425080451","0.6921663798794412"
"VN","Vietnam","2097","93","553782","0.5055793009654195","221015","0.40121775301829155","332767","0.6111636024798293","0.6641734306586892"
"VN","Vietnam","2097","94","490724","0.44801004165349273","190910","0.3465668901600436","299814","0.550641753280486","0.6367614587711048"
"VN","Vietnam","2097","95","433913","0.39614402638548757","163694","0.29716054956711635","270219","0.4962872445239371","0.6057827169814114"
"VN","Vietnam","2097","96","364970","0.33320201356011775","132625","0.24075969727869567","232345","0.4267274315607495","0.5708106479588543"
"VN","Vietnam","2097","97","309176","0.28226447583215875","108073","0.19618942706126652","201103","0.36934802414151974","0.5374012322043927"
"VN","Vietnam","2097","98","259902","0.23727941948187997","87270","0.15842487299914623","172632","0.31705786638488154","0.5055262060336438"
"VN","Vietnam","2097","99","222798","0.20340505306509332","71769","0.13028526080297612","151029","0.2773815544177341","0.4752001271279026"
"VN","Vietnam","2097","100+","797251","0.7278560936866522","213194","0.3870199653280621","584057","1.0726856334118515","0.3650225919730437"
"VN","Vietnam","2098","TOTAL","109054742","100","54836873","100","54217869","100","1.011416973986934"
"VN","Vietnam","2098","0","894180","0.8199368350254773","460036","0.8389172737840102","434144","0.8007396970913778","1.0596391980541018"
"VN","Vietnam","2098","1","899711","0.8250085998094425","462896","0.844132742579979","436815","0.8056661171983723","1.0597071986996784"
"VN","Vietnam","2098","2","905377","0.8302041556340576","465831","0.8494849806625553","439546","0.810703201927763","1.0598003394411506"
"VN","Vietnam","2098","3","911124","0.8354739860830627","468803","0.8549046915931913","442321","0.8158214407135773","1.0598705465035574"
"VN","Vietnam","2098","4","916967","0.8408318457165301","471822","0.8604101112767681","445145","0.8210300556076817","1.0599287872490986"
"VN","Vietnam","2098","5","922943","0.8463116624493046","474907","0.8660358879325595","448036","0.8263622459967949","1.0599750912873074"
"VN","Vietnam","2098","6","929045","0.8519070174866857","478053","0.8717729036081251","450992","0.8318143230601704","1.0600032816546634"
"VN","Vietnam","2098","7","935245","0.8575922356498721","481251","0.877604745989072","453994","0.8373512430007163","1.0600382383908158"
"VN","Vietnam","2098","8","941580","0.8634012448537084","484512","0.8835514745707693","457068","0.8430209604881371","1.0600435821365748"
"VN","Vietnam","2098","9","948112","0.8693908972798268","487882","0.8896969745156694","460230","0.8488529860884056","1.0600830019772722"
"VN","Vietnam","2098","10","954803","0.8755263480427106","491334","0.8959920088805939","463469","0.8548270312874156","1.060122683502025"
